sp,years,nc_pars,nc_obs,npars,nobs,Tmean,Tsd,Tdiff,n_sites_wide_ci,large_ci,flag_convergence,flag_gof_Tmean,flag_gof_Tsd,flag_gof_Tdiff,flag_wide_ci,any_flag
56,93_24,0,0,15,2464,0.707,0.753,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,93_24,0,0,15,2368,0.706,0.66,0,1,67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58,93_24,0,0,15,1312,0.668,0.669,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,93_24,0,0,15,4896,0.671,0.714,0,1,115136,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60,93_24,0,0,15,800,0.632,0.567,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,93_24,0,0,15,1376,0.689,0.666,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,93_24,0,0,15,576,0.649,0.695,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,93_24,0,0,15,96,0.666,0.526,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,93_24,0,0,15,384,0.766,0.657,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,93_24,0,0,15,864,0.561,0.509,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,93_24,0,0,15,1056,0.704,0.691,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,93_24,0,0,15,96,0.417,0.527,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,93_24,0,0,15,160,0.483,0.381,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,93_24,0,0,15,128,0.609,0.633,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,93_24,0,0,15,320,0.54,0.534,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
