"CardNo","StartDate","Pentad","year","obs"
"2500_3045_000459_20220101",2022-01-01,"2500_3045",2022,0
"3255_2620_016110_20220101",2022-01-01,"3255_2620",2022,0
"2545_2730_019120_20220104",2022-01-04,"2545_2730",2022,0
"2505_3115_000459_20220103",2022-01-03,"2505_3115",2022,0
"2515_3135_000459_20220104",2022-01-04,"2515_3135",2022,0
"3330_2630_016110_20220102",2022-01-02,"3330_2630",2022,0
"3335_2630_016110_20220104",2022-01-04,"3335_2630",2022,0
"2745_2955_001071_20220105",2022-01-05,"2745_2955",2022,0
"2505_3110_000459_20220103",2022-01-03,"2505_3110",2022,0
"2515_3130_000459_20220104",2022-01-04,"2515_3130",2022,0
"2905_2610_000102_20220101",2022-01-01,"2905_2610",2022,0
"3340_2620_016110_20220104",2022-01-04,"3340_2620",2022,0
"2510_3115_000459_20220103",2022-01-03,"2510_3115",2022,0
"2615_2805_016300_20220101",2022-01-01,"2615_2805",2022,0
"2525_3130_000459_20220104",2022-01-04,"2525_3130",2022,0
"2540_2710_018053_20220104",2022-01-04,"2540_2710",2022,0
"2525_2930_020905_20220105",2022-01-05,"2525_2930",2022,0
"2525_2745_016300_20220103",2022-01-03,"2525_2745",2022,0
"2545_2735_002254_20220102",2022-01-02,"2545_2735",2022,0
"2650_2750_000527_20220105",2022-01-05,"2650_2750",2022,0
"2645_2745_000527_20220101",2022-01-01,"2645_2745",2022,0
"2530_3050_010916_20220104",2022-01-04,"2530_3050",2022,0
"3230_2755_016279_20220101",2022-01-01,"3230_2755",2022,0
"2505_3110_002947_20220102",2022-01-02,"2505_3110",2022,0
"2505_3115_002947_20220103",2022-01-03,"2505_3115",2022,0
"2505_3120_002947_20220103",2022-01-03,"2505_3120",2022,0
"2500_3130_002947_20220103",2022-01-03,"2500_3130",2022,0
"2510_3120_002947_20220104",2022-01-04,"2510_3120",2022,0
"3310_2200_021507_20220104",2022-01-04,"3310_2200",2022,0
"2615_2805_010338_20220103",2022-01-03,"2615_2805",2022,0
"2520_3130_010916_20220103",2022-01-03,"2520_3130",2022,0
"2520_3125_010916_20220103",2022-01-03,"2520_3125",2022,0
"2505_3125_002947_20220103",2022-01-03,"2505_3125",2022,0
"2525_3130_010916_20220103",2022-01-03,"2525_3130",2022,0
"2550_2810_014880_20220102",2022-01-02,"2550_2810",2022,0
"2525_3125_010916_20220103",2022-01-03,"2525_3125",2022,0
"3245_2805_016279_20220105",2022-01-05,"3245_2805",2022,0
"3255_2755_021180_20220101",2022-01-01,"3255_2755",2022,0
"3400_1850_017378_20220101",2022-01-01,"3400_1850",2022,0
"2435_2840_019666_20220105",2022-01-05,"2435_2840",2022,0
"2605_2750_016236_20220101",2022-01-01,"2605_2750",2022,0
"2510_2830_011073_20220105",2022-01-05,"2510_2830",2022,0
"3400_2320_001859_20220101",2022-01-01,"3400_2320",2022,0
"2600_2815_016971_20220101",2022-01-01,"2600_2815",2022,0
"2510_3115_002947_20220102",2022-01-02,"2510_3115",2022,0
"2845_2930_020101_20220102",2022-01-02,"2845_2930",2022,0
"3410_2445_001979_20220101",2022-01-01,"3410_2445",2022,0
"2500_3115_002947_20220102",2022-01-02,"2500_3115",2022,0
"3355_2220_010210_20220101",2022-01-01,"3355_2220",2022,0
"2440_2820_016685_20220101",2022-01-01,"2440_2820",2022,0
"3400_2300_011372_20220101",2022-01-01,"3400_2300",2022,0
"2605_2755_001858_20220101",2022-01-01,"2605_2755",2022,0
"2535_2745_010821_20220101",2022-01-01,"2535_2745",2022,0
"2445_2815_019005_20220101",2022-01-01,"2445_2815",2022,0
"3410_2205_011619_20220101",2022-01-01,"3410_2205",2022,0
"2645_2635_000272_20220105",2022-01-05,"2645_2635",2022,0
"3050_2435_014447_20220102",2022-01-02,"3050_2435",2022,0
"2910_2930_001904_20220105",2022-01-05,"2910_2930",2022,0
"2640_2645_021612_20220106",2022-01-06,"2640_2645",2022,0
"2545_2740_021011_20220102",2022-01-02,"2545_2740",2022,0
"2555_2730_019120_20220101",2022-01-01,"2555_2730",2022,0
"3405_2445_001979_20220101",2022-01-01,"3405_2445",2022,0
"2525_3055_000459_20220101",2022-01-01,"2525_3055",2022,0
"2345_2935_011071_20220106",2022-01-06,"2345_2935",2022,0
"2630_2720_001651_20220102",2022-01-02,"2630_2720",2022,0
"2625_2725_001651_20220101",2022-01-01,"2625_2725",2022,0
"2540_2810_021011_20220102",2022-01-02,"2540_2810",2022,0
"2600_2755_010768_20220101",2022-01-01,"2600_2755",2022,0
"3000_3050_019186_20220101",2022-01-01,"3000_3050",2022,0
"2655_2710_000283_20220101",2022-01-01,"2655_2710",2022,0
"2630_2855_012093_20220104",2022-01-04,"2630_2855",2022,0
"2655_2910_012093_20220101",2022-01-01,"2655_2910",2022,0
"2505_3100_017000_20220101",2022-01-01,"2505_3100",2022,0
"3400_2300_016082_20220101",2022-01-01,"3400_2300",2022,0
"3400_2255_001680_20220102",2022-01-02,"3400_2255",2022,0
"3350_2240_001680_20220101",2022-01-01,"3350_2240",2022,0
"2550_2650_001252_20220101",2022-01-01,"2550_2650",2022,0
"2635_2720_001651_20220102",2022-01-02,"2635_2720",2022,0
"2410_3035_016320_20220101",2022-01-01,"2410_3035",2022,0
"3355_2245_001680_20220103",2022-01-03,"3355_2245",2022,0
"2550_2815_010565_20220106",2022-01-06,"2550_2815",2022,0
"3400_2300_001680_20220102",2022-01-02,"3400_2300",2022,0
"2550_2725_019120_20220106",2022-01-06,"2550_2725",2022,0
"2630_2725_001651_20220102",2022-01-02,"2630_2725",2022,0
"3355_2445_000355_20220106",2022-01-06,"3355_2445",2022,0
"3355_1820_011005_20220102",2022-01-02,"3355_1820",2022,0
"3400_1825_011005_20220102",2022-01-02,"3400_1825",2022,0
"2530_3055_016285_20220101",2022-01-01,"2530_3055",2022,0
"2830_2945_017944_20220102",2022-01-02,"2830_2945",2022,0
"2445_2815_019666_20220101",2022-01-01,"2445_2815",2022,0
"2455_3050_010170_20220103",2022-01-03,"2455_3050",2022,0
"2630_2900_012093_20220104",2022-01-04,"2630_2900",2022,1
