"Pentad","year","site_id","log_dist_coast","watext","log_watext","watrec","ndvi","elev","prcp","tdiff","watext:watrec"
"2205_2935",2010,2,6.21114420190601,3266,8.09162741160107,2.03015876450773,0.380207513565084,502.617291530476,31.2708333333333,15.2104166666667,6630.49852488225
"2205_2935",2011,2,6.21114420190601,3266,8.09162741160107,2.06843248000116,0.369909034733248,502.617291530476,30.3125,15.775,6755.50047968379
"2205_2935",2012,2,6.21114420190601,3266,8.09162741160107,1.68374773683034,0.305442978940505,502.617291530476,20.8958333333333,16.45625,5499.12010848789
"2205_2940",2010,3,6.20001952919041,3899,8.26873183211774,2.27071876653314,0.329621959394752,504.293084515971,31.7708333333333,14.9666666666666,8853.53247071271
"2205_2940",2011,3,6.20001952919041,3899,8.26873183211774,2.34145567228479,0.33505630976235,504.293084515971,30.6041666666667,15.5458333333333,9129.3356662384
"2205_2940",2012,3,6.20001952919041,3899,8.26873183211774,2.09587483939234,0.279613207203159,504.293084515971,21.0625,16.2208333333333,8171.81599879073
"2210_2900",2010,5,6.2775805313148,1151,7.04925484125584,1.77055918530106,0.353171320602415,557.556480475575,30,16.31875,2037.91362228152
"2210_2900",2011,5,6.2775805313148,1151,7.04925484125584,1.86094496078852,0.30626897695608,557.556480475575,30.9583333333333,16.8520833333333,2141.94764986759
"2210_2900",2012,5,6.2775805313148,1151,7.04925484125584,1.59603488645543,0.259093902870538,557.556480475575,21,17.53125,1837.0361543102
"2210_2905",2010,6,6.26605023690468,1036,6.94408720822953,1.86490986422874,0.351912315185602,546.966004246764,30.3541666666667,16.3291666666667,1932.04661934097
"2210_2905",2011,6,6.26605023690468,1036,6.94408720822953,1.94789380477394,0.298910646857303,546.966004246764,31.2291666666667,16.8625,2018.0179817458
"2210_2905",2012,6,6.26605023690468,1036,6.94408720822953,1.70372122239545,0.240853995381828,546.966004246764,21.3125,17.55625,1765.05518640169
"2210_2910",2010,7,6.25451153125789,1461,7.28756064030972,1.64563803597347,0.402589385576783,531.622617761357,30.4375,16.2791666666666,2404.27717055724
"2210_2910",2011,7,6.25451153125789,1461,7.28756064030972,1.63571846707778,0.343452049705237,531.622617761357,31.2708333333333,16.8166666666667,2389.78468040064
"2210_2910",2012,7,6.25451153125789,1461,7.28756064030972,1.50043169236773,0.268475814676056,531.622617761357,21.2916666666667,17.5041666666667,2192.13070254925
"2210_2915",2010,8,6.24297305316016,3493,8.158802490694,1.65779242931403,0.375326884874932,536.680323565679,30.5208333333333,16.0645833333333,5790.66895559391
"2210_2915",2011,8,6.24297305316016,3493,8.158802490694,1.46946089176966,0.331395021394533,536.680323565679,30.9166666666667,16.6,5132.82689495142
"2210_2915",2012,8,6.24297305316016,3493,8.158802490694,1.35376254378291,0.252397122518253,536.680323565679,21.2083333333333,17.2895833333334,4728.6925654337
"2210_2920",2010,9,6.23143971059735,3300,8.10198073185319,1.76631243976895,0.341917967697651,552.219763291493,31.6875,15.8020833333334,5828.83105123753
"2210_2920",2011,9,6.23143971059735,3300,8.10198073185319,1.91651961675525,0.314540736891567,552.219763291493,31.6666666666667,16.325,6324.51473529232
"2210_2920",2012,9,6.23143971059735,3300,8.10198073185319,1.58552957574764,0.25142745202097,552.219763291493,21.8958333333333,17.0270833333333,5232.24759996721
"2210_2925",2010,10,6.21991685689766,2749,7.91935619066062,2.0492836027779,0.371892957678997,549.14893716492,31.6875,15.5333333333333,5633.48062403645
"2210_2925",2011,10,6.21991685689766,2749,7.91935619066062,2.11108470884429,0.341858231090439,549.14893716492,31.5833333333333,16.0895833333333,5803.37186461295
"2210_2925",2012,10,6.21991685689766,2749,7.91935619066062,1.95996379117693,0.277718517051129,549.14893716492,21.625,16.7770833333333,5387.94046194538
"2210_2930",2010,11,6.20841445534752,1456,7.2841348061952,1.92986831120567,0.390513558369376,518.791013710672,31.625,15.3291666666667,2809.88826111546
"2210_2930",2011,11,6.20841445534752,1456,7.2841348061952,1.93484770958447,0.376662736368009,518.791013710672,31.1875,15.9166666666666,2817.13826515499
"2210_2930",2012,11,6.20841445534752,1456,7.2841348061952,1.78851964559826,0.312448691671627,518.791013710672,21.4166666666667,16.5916666666667,2604.08460399107
"2210_2935",2010,12,6.19693880132901,137,4.92725368515721,2.75882921441392,0.382233606001526,560.135838117674,32.4791666666667,14.98125,377.959602374707
"2210_2935",2011,12,6.19693880132901,137,4.92725368515721,2.72185558470247,0.361185790049791,560.135838117674,31.7083333333333,15.5416666666667,372.894215104238
"2210_2935",2012,12,6.19693880132901,137,4.92725368515721,2.72362280822863,0.308782499788082,560.135838117674,22.0208333333333,16.2291666666667,373.136324727322
"2210_2940",2010,13,6.18549670340281,21,3.09104245335832,1.52380952380952,0.388324691737969,576.812548507401,34.2291666666667,14.66875,31.9999999999999
"2210_2940",2011,13,6.18549670340281,21,3.09104245335832,2,0.381795083287416,576.812548507401,32.875,15.2375,42
"2210_2940",2012,13,6.18549670340281,21,3.09104245335832,1.61904761904762,0.3200955196733,576.812548507401,22.9791666666667,15.9270833333334,34
"2210_2955",2010,16,6.1514724123067,2397,7.78239033558746,1.76926777308181,0.351443119428375,473.773627765665,32.4375,14.2104166666667,4240.9348520771
"2210_2955",2011,16,6.1514724123067,2397,7.78239033558746,1.82768099508642,0.350674599193134,473.773627765665,31.0208333333333,14.7583333333333,4380.95134522215
"2210_2955",2012,16,6.1514724123067,2397,7.78239033558746,1.5259546143991,0.304452290759372,473.773627765665,21.9583333333333,15.45625,3657.71321071464
"2215_2910",2010,21,6.24179544588299,486,6.18826412308259,2.36008230452675,0.400234990236338,577.360545450794,30.9166666666667,16.0604166666666,1147
"2215_2910",2011,21,6.24179544588299,486,6.18826412308259,2.2201646090535,0.350435134985627,577.360545450794,32.625,16.5958333333333,1079
"2215_2910",2012,21,6.24179544588299,486,6.18826412308259,1.17078189300412,0.297522839593817,577.360545450794,21.9583333333333,17.2916666666667,569.000000000002
"2215_2920",2010,23,6.21812955018216,7,2.07944154167984,1.14285714285714,0.372036053398237,610.440465688576,31.7083333333333,15.56875,7.99999999999998
"2215_2920",2011,23,6.21812955018216,7,2.07944154167984,1,0.327109781133606,610.440465688576,32.6041666666667,16.13125,7
"2215_2920",2012,23,6.21812955018216,7,2.07944154167984,1,0.274879888446362,610.440465688576,22.125,16.81875,7
"2215_2950",2010,29,6.14750012993504,0,0,0,0.36376551780735,568.302255763308,35.1875,14.0020833333333,0
"2215_2950",2011,29,6.14750012993504,0,0,0,0.356669829487615,568.302255763308,33.8333333333333,14.5833333333333,0
"2215_2950",2012,29,6.14750012993504,0,0,0,0.301491608083386,568.302255763308,24.0833333333333,15.2625,0
"2215_2955",2010,30,6.13587048113394,0,0,0,0.345788427063876,544.42609410854,35.3958333333333,13.7791666666667,0
"2215_2955",2011,30,6.13587048113394,0,0,0,0.344669634180747,544.42609410854,34.0416666666667,14.35,0
"2215_2955",2012,30,6.13587048113394,0,0,0,0.30024381680825,544.42609410854,24.2708333333333,15.0166666666666,0
"2215_3000",2010,31,6.12430936656193,2445,7.80220931624712,1.8861451733359,0.343981403916363,488.962610386951,34.875,13.6979166666666,4611.62494880628
"2215_3000",2011,31,6.12430936656193,2445,7.80220931624712,1.90498446120119,0.325360583766641,488.962610386951,33.1666666666667,14.2583333333334,4657.68700763691
"2215_3000",2012,31,6.12430936656193,2445,7.80220931624712,1.39651641812619,0.312465748239112,488.962610386951,23.875,14.9458333333333,3414.48264231853
"2215_3105",2010,43,5.96841744598397,1760,7.47363710849621,1.75260510918921,0.544470718417457,284.383924586104,41.5,14.9416666666667,3084.58499217301
"2215_3105",2011,43,5.96841744598397,1760,7.47363710849621,1.60545113408013,0.515379801481421,284.383924586104,37.25,15.4354166666667,2825.59399598103
"2215_3105",2012,43,5.96841744598397,1760,7.47363710849621,1.3234265540173,0.449035560751369,284.383924586104,28.6875,16.0229166666667,2329.23073507045
"2220_2855",2010,45,6.26531923141609,950,6.85751406254539,1.78112292451974,0.37235826902393,626.593089758946,29.3541666666667,16.0166666666667,1692.06677829375
"2220_2855",2011,45,6.26531923141609,950,6.85751406254539,1.95057202009288,0.348832970937623,626.593089758946,30.9791666666667,16.54375,1853.04341908824
"2220_2855",2012,45,6.26531923141609,950,6.85751406254539,1.81490799013502,0.282180994426621,626.593089758946,21.2708333333333,17.2479166666667,1724.16259062827
"2220_2955",2010,57,6.1201810384635,1,0.693147180559945,1,0.351534645153553,592.36064588472,39.7708333333333,13.4729166666666,1
"2220_2955",2011,57,6.1201810384635,1,0.693147180559945,1,0.342108449155435,592.36064588472,38.6041666666667,14.0458333333333,1
"2220_2955",2012,57,6.1201810384635,1,0.693147180559945,2,0.296040904989899,592.36064588472,27.5208333333333,14.7229166666667,2
"2220_3005",2010,59,6.09639925526689,5,1.79175946922805,1,0.354159004208169,498.634702184189,39.875,13.34375,5
"2220_3005",2011,59,6.09639925526689,5,1.79175946922805,1,0.313022358456279,498.634702184189,38.625,13.9020833333334,5
"2220_3005",2012,59,6.09639925526689,5,1.79175946922805,0.8,0.290027186135366,498.634702184189,27.8125,14.5729166666667,4
